PRODUCT_LABEL.hash,CUSTOMER_REF.hash,ACCOUNT_NUM.hash,PRODUCT_SEQ,START_DAT,END_DAT,PRODUCT_ID,PRODUCT_NAME,EFFECTIVE_DTM,PRODUCT_STATUS
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,250,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2076,V_Single VAS Bundle,2019-Jun-19 00:00:00,TX
ef74b1171331411a4d2e9fada9158215,395dd9f2747c6fa4336ee794b1cb6d72,9c802b6b329dc1e3ba6e6c655a21e65d,14,2019-Dec-19 00:00:00,2020-Jan-18 00:00:00,2693,E_Referral offer Discount,2020-Jan-19 00:00:00,TX
31110bf10f07e3d5e23da9680b1dd287,f72dffa8e0e57e2999859d05fb470b8e,1cf3f313f1060c69dfe814a0e8124f18,51,2018-Aug-01 00:00:00,2019-Oct-06 00:00:00,2176,V_Absentee service,2019-Oct-06 09:32:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,93,2018-Sep-21 00:00:00,2019-Jun-29 00:00:00,2173,V_Hotline Service,2019-Jun-29 13:57:00,TX
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,252,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2165,V_Caller Line Identification,2019-Jun-19 00:00:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,74,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2176,V_Absentee service,2019-Jun-29 13:57:00,TX
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,253,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2080,V_Call Forwarding Offline,2019-Jun-19 00:00:00,TX
31110bf10f07e3d5e23da9680b1dd287,f72dffa8e0e57e2999859d05fb470b8e,1cf3f313f1060c69dfe814a0e8124f18,52,2018-Aug-01 00:00:00,2019-Oct-06 00:00:00,2167,V_Abbreviated Dialing,2019-Oct-06 09:32:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,75,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2167,V_Abbreviated Dialing,2019-Jun-29 13:57:00,TX
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,254,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2167,V_Abbreviated Dialing,2019-Jun-19 00:00:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,76,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2078,V_Call Transfer Three way,2019-Jun-29 13:57:00,TX
31110bf10f07e3d5e23da9680b1dd287,f72dffa8e0e57e2999859d05fb470b8e,1cf3f313f1060c69dfe814a0e8124f18,53,2018-Aug-01 00:00:00,2019-Oct-06 00:00:00,2078,V_Call Transfer Three way,2019-Oct-06 09:32:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,77,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2168,V_Call Forwarding,2019-Jun-29 13:57:00,TX
31110bf10f07e3d5e23da9680b1dd287,f72dffa8e0e57e2999859d05fb470b8e,1cf3f313f1060c69dfe814a0e8124f18,54,2018-Aug-01 00:00:00,2019-Oct-06 00:00:00,2168,V_Call Forwarding,2019-Oct-06 09:32:00,TX
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,255,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2168,V_Call Forwarding,2019-Jun-19 00:00:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,78,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2172,V_Call Waiting,2019-Jun-29 13:57:00,TX
31110bf10f07e3d5e23da9680b1dd287,f72dffa8e0e57e2999859d05fb470b8e,1cf3f313f1060c69dfe814a0e8124f18,55,2018-Aug-01 00:00:00,2019-Oct-06 00:00:00,2172,V_Call Waiting,2019-Oct-06 09:32:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,79,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2169,V_Call Forwarding-Immediate,2019-Jun-29 13:57:00,TX
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,262,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2083,V_Outgoing Call Memory,2019-Jun-19 00:00:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,80,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2170,V_Call Forwarding-On Busy,2019-Jun-29 13:57:00,TX
31110bf10f07e3d5e23da9680b1dd287,f72dffa8e0e57e2999859d05fb470b8e,1cf3f313f1060c69dfe814a0e8124f18,56,2018-Aug-01 00:00:00,2019-Oct-06 00:00:00,2169,V_Call Forwarding-Immediate,2019-Oct-06 09:32:00,TX
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,263,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2169,V_Call Forwarding-Immediate,2019-Jun-19 00:00:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,81,2018-Aug-01 00:00:00,2019-Jun-29 00:00:00,2171,V_Call Forwarding-No Answer,2019-Jun-29 13:57:00,TX
31110bf10f07e3d5e23da9680b1dd287,f72dffa8e0e57e2999859d05fb470b8e,1cf3f313f1060c69dfe814a0e8124f18,57,2018-Aug-01 00:00:00,2019-Oct-06 00:00:00,2170,V_Call Forwarding-On Busy,2019-Oct-06 09:32:00,TX
b6404a24d0ae0f5dbb11c78c783bd1fc,71a467201a2d56926e6f9e3b162635a5,ce8d936fed762bfa12912fb18915b802,73,2018-Aug-03 00:00:00,2019-Feb-02 00:00:00,2103,V_Cordeless Phone - Installment,2019-Feb-03 00:00:00,TX
b635fc31617ffc9c1e6b5015fb32e108,3bab8adf192d3b98fc879ad65bf3b1a8,a4e4afaedb57f205bfeff624c39fe49d,264,2019-Feb-28 00:00:00,2019-Jun-18 00:00:00,2170,V_Call Forwarding-On Busy,2019-Jun-19 00:00:00,TX
e5acdceb8e65a368cc8096a9af807dcf,2273a3df9555e6550a90af84c2aab27c,ce01acc546de76f431d42c29678c7014,73,2018-Aug-03 00:00:00,2019-Feb-02 00:00:00,2103,V_Cordeless Phone - Installment,2019-Feb-03 00:00:00,TX
