,event_source.hash,outgoing_country,Revenue_on_Usage_Cumulative
77,27b7f28da49f510b171e0a65fc2e76ce,"['United Arab Emirates', 'United Arab Emirates  - Mobile']",10755668
78,27fb9058d3394bdbb0d9cf5e65054d8e,['Germany - Mobile'],9900
79,28eacfec0b6b96c1a7ec792bb5efd724,['France - Mobile'],44100
80,28fc68017d5cd141bafcee0d0c3e2e16,['Saudi Arabia - Mobile'],9183
81,2ab20dc0b9187fcea613b3a90619282a,['Korea Republic Of - Mobile'],21266
82,2ab8436cc34b4f16de3c452300f975c3,"['United Arab Emirates', 'Oman']",2502898
83,2c2938180da1015773240d3979fc9b35,['UK - Mobile'],777300
84,2dfde33c0353972bf881c79f50046502,['Italy - Mobile'],5100
85,2f5a13ad5902f624aac769ed2bd1952f,['Australia - Mobile'],67800
86,301a321f8f09dc78170d30860d793bb8,"['France', 'India']",4151
87,31425379dca3db4950c9beaccbf40a40,['India'],3315
88,316e3ed2196498dc2b376f69e3287864,['Russia'],5867
89,32152b3aebe82070a6faeb8d775cf640,['Germany'],22400
90,32fffb552966cbf8a78e3dc70b0e2c7f,"['Australia - Mobile', 'Australia']",27700
91,341cf3a955537b59ee6a77a4da0ca2c8,['United Arab Emirates  - Mobile'],2516669
92,34274b91c0f1c153505764e0b91cafb2,"['Netherlands', 'Canada', 'U.K.']",276092
93,34cb91ec7bffe431e7bd53a56d24ad3b,['Australia'],203934
94,34daf90db8e49c5044ddc7d3380b6892,"['Switzerland - Mobile', 'UK - Mobile', 'Bangladesh - Mobile', 'Singapore']",158500
95,358ac2b2fd5500469f2f2b18df111306,['Australia - Mobile'],33300
96,358aede375ab057032386825f910baa2,"['Australia - Mobile', 'U.K.', 'China']",619633
97,35d678929dbaa56ab419bdcdcc764658,['Italy'],23847
98,35f2c3752b662cc9a63b636b50175836,"['New Zealand - Mobile', 'Canada', 'France', 'UK - Mobile']",106257
99,35f69e6ad0294c250534e687a6d506c2,"['Australia - Mobile', 'U.S.A']",318495
100,386a8056bda880cb6f39866038817971,['Australia'],264483
101,38a1e34a610db93a7e0c689ee83d6fda,['Qatar - Mobile'],165834
102,38e30e587d665e0c8ef43facdabb3f38,"['France - Mobile', 'Germany', 'Australia - Mobile']",1346783
103,38fa17c37f34b7c3cbab423c31f21c13,['U.S.A'],55860
104,392f8376d4cc437cf3bbe01ecfef6ba5,['UK - Mobile'],1200
105,39cc573a156f044a13801b26d5379370,['Kuwait -Mobile'],31800
106,39ead78669bce1a8b4feb93fa3dfc13c,"['Japan', 'Australia']",172318
107,3a2e20f170cecbe0719bfaaa471dfa83,['Maldive Islands'],16133
108,3a41dd3efb28bec3a7acc406dff4e0c8,['U.S.A'],4050748
109,3a6276fe3192e10f28ab93fedb94b9f2,['Canada'],1395925
110,3af183f2f0453303c8dd38bde83f586f,"['Australia - Mobile', 'U.K.', 'U.S.A']",4665681
111,3b243a0b7e610b79712a8fb19eb6f555,"['Jordan - Mobile', 'Korea Republic Of - Mobile']",2922516
112,3b75413c2234782a000fe9944c60daab,"['Australia - Mobile', 'UK - Mobile', 'U.S.A', 'India']",219445
113,3bcf425eb655ba4a6853bdd798f45fac,"['Australia - Mobile', 'U.K.', 'Australia', 'U.S.A']",170310
114,3c4c9799f94bc608bdb262f963478358,['Kuwait -Mobile'],89700
115,3c7e33ce463f2e1a1327783dbfe922e9,['Australia'],57050
116,3e7e191b7d879038577c1b323b858e99,['France - Mobile'],149100
117,3e8683609c68fe0cc7771acb0f1716ce,['Qatar - Mobile'],1340416
118,3ec6441eb5df6ef9ba2bdd63f919ce8b,['United Arab Emirates'],148000
119,3f16df551a137e02d1b2c1b06076636d,['Australia - Mobile'],357300
120,3f457223b4ab99aca778c3ffc45d35fb,['U.S.A'],1715
121,3f9af1e9d0c70041608ae194f656ea19,"['Australia - Mobile', 'UK - Mobile', 'Barbados', 'U.S.A', 'United Arab Emirates']",468698
122,3fbe5da2b888637d2c55a3a50c2860e8,"['United Arab Emirates', 'United Arab Emirates  - Mobile']",3349663
123,3ff964e1c7d3ad62aba6a032cdb80e64,"['Canada', 'Australia', 'U.S.A', 'Singapore']",179918
124,4006fa22ee43ef7a18c02d794fba96ee,"['Australia - Mobile', 'United Arab Emirates  - Mobile']",329667
125,40316888f773134364ae711ebdfdc791,['France - Mobile'],78300
126,41b126062cfcfd5e909511675878bacd,['Kuwait -Mobile'],125700
127,41ccbe2e8e9090a7dff45edc35d3aaba,['U.S.A'],1715
128,425ba7dcfe17742aba8994becf53c229,"['Australia - Mobile', 'UK - Mobile', 'U.K.', 'Singapore']",4743351
129,42ef31070c3f3b03aea3676aba7cb740,"['U.K.', 'Australia', 'UK - Mobile']",462082
130,430816a525002fb012100f9bf8e27f8d,"['New Zealand - Mobile', 'Oman-Mobile ']",1415335
131,43268939e4a85aceeeceea70004d5c5a,['UK - Mobile'],144600
132,450326f1c00dc7072efef91e85f57586,['United Arab Emirates  - Mobile'],2039333
133,453ed6d12a91a35cfc44d0b2e691a6c0,['France - Mobile'],231000
134,474aef26dacb4f2c3ac5983e175e18e4,['Qatar - Mobile'],14167
135,47ba00bc83a14e1985ca9a031d52efe3,['Italy - Mobile'],393000
136,48a7ca602fcfdf28093541cb00d613bb,['U.S.A'],31360
137,48ea05c4757616b5d14028a79acc8a59,"['Korea Republic Of', 'Indonesia - Mobile', 'India']",255885
138,491c706a7512c044872648b069944e64,['Qatar - Mobile'],67083
139,4934f6949e8de1fc44432cfc1e39a9d8,['Australia'],13650
140,49fd02fe57ba3852a8ae4fe55a5237f4,['Qatar - Mobile'],677500
141,4a475b16493e3774d09eaf35ff514b97,['U.S.A'],101593
142,4b1bf57b9f02b67e54c5a36647d51f0c,['Australia - Mobile'],92400
143,4bbf6b545148fcd1729da7a9b25b1fe8,['Korea Republic Of - Mobile'],693366
144,4c4675487bb19a93b735663cce8b33e9,"['UK - Mobile', 'Canada', 'U.K.']",112532
145,4c9365df447c5c9fb28566a4a517933d,['Australia - Mobile'],714000
146,4ce2ac785d4cfa6a31d37680a60855a0,['U.S.A'],134178
147,4cebd60d20845469364f6af9bf875cdd,['Saudi Arabia'],8233
148,4d384b3ff38d7b7060eb1fea680200ab,['Australia - Mobile'],4149300
149,4dbd986709b12a3f50c28b75842592b2,"['Canada', 'United Arab Emirates  - Mobile']",214647
150,4eb1ffd42c80a36396a4cd2bb9f3284c,['Canada'],2123
151,4f181bb9708a8702c9e96fd6990222b1,"['Australia - Mobile', 'Canada', 'Australia']",251616
152,4ff7845abe4518b8ecd264564de98f10,['Germany'],6650
153,50f33168b2c198867206f509a5c75831,['India'],24570
154,516d75323fffd9e5ab90f2bbbcea2bcb,"['France - Mobile', 'Australia - Mobile']",710700
155,52380877b36538ec9c9a44084bea19e5,['India'],5200
156,536f73416d903202def0c0546c2bff27,"['Australia - Mobile', 'U.S.A', 'United Arab Emirates  - Mobile']",847977
157,53a549afb1165058c3d9d03cd604877c,"['United Arab Emirates', 'U.S.A', 'Qatar']",317328
158,541aae494e0ca618c497cca547a12194,['United Arab Emirates  - Mobile'],59333
159,54608c7d53ad49deb29008a2ce0ee791,['U.S.A'],158760
160,54f16eb9c93bf0654c1a261e5c4af944,['U.S.A'],1388
161,552d18e8515f81cf52f85d1cb995de16,"['Australia - Mobile', 'Japan - Mobile', 'United Arab Emirates  - Mobile']",294934
162,5535b8544edef2d228253e7debf13956,['U.K.'],2450
163,5626538af57846eb81bd47c15b54b21d,"['Australia - Mobile', 'Australia']",195250
164,569ab7e43caa3fb5a95985090308da45,['Italy - Mobile'],1870800
165,572c8c7af56c5dab11678cec81e0e465,['Qatar - Mobile'],15000
166,578046c8b48f99dbb32ba29409b56563,"['U.K.', 'Singapore']",218217
167,57f81eff21ce3f03dd69d2837cf9b038,['UK - Mobile'],282000
168,57fd5d0fd4a5a64994dcef7be5cb3409,['France - Mobile'],21000
169,5894054ea2bc1f847421efa6780afd11,['Korea Republic Of'],27867
170,58e8edd99ccc4f147d62fedc6bdc0536,['United Arab Emirates'],317000
171,58e984be6f8750f5707066e93086ed05,['United Arab Emirates  - Mobile'],35667
172,5aa899bf785247fd5e97694c53e95742,"['France - Mobile', 'Australia', 'Australia - Mobile', 'France']",385033
173,5b36830364aac0e222251e82733bc585,['U.S.A'],4801998
174,5b3d2ecbe5f8733b1d20f5729e0a3f6d,"['UK - Mobile', 'United Arab Emirates  - Mobile', 'U.K.', 'Italy - Mobile', 'India', 'Switzerland']",1362521
175,5bb03273e10f7df788d5cf560f83a7e5,['Italy - Mobile'],29700
176,5be8e1d39f6ab638d17b91c96d96b1cb,"['Netherlands', 'UK - Mobile']",2384400
177,5c7014778c124ba92ca6a098e78daa96,['Jordan'],87500
178,5ceecb860a82548818da2c97880432e3,"['France - Mobile', 'Oman-Mobile ']",183350
179,5d6227023c9468e89ded21d651981c27,['United Arab Emirates  - Mobile'],132333
180,5f3d6748040dfff6fdf405e67face60e,['UK - Mobile'],15000
181,5f4823ff977d6bcbd4fd5d5ee43341a8,['India'],68575
182,5fcdfbfb799f201d8ee31311d5279287,['Malaysia - Mobile'],107000
183,5fea9b5567a3814f57718fe99db525a0,['United Arab Emirates  - Mobile'],46000
184,60b6a435634a63e3a5023674f3eb2a8b,"['Germany', 'India']",136597
185,611e5a29db6689e85a9da5d68617dc75,"['France - Mobile', 'France']",103399
186,6132f36005b52087a6532ae7fe928218,['Australia - Mobile'],31800
187,61951c50f24fae789131f6653b3cbd7a,"['Germany', 'Belgium']",124616
188,61d67d49f1e8747af7fbbd1232e97eef,['Canada'],22377
189,62bb305a24c92cb7f073941a6f1cf4ab,"['New Zealand - Mobile', 'Malaysia']",1272401
190,63aac75c86229aa94cba7d8a9cfc4398,['Australia - Mobile'],43200
191,63f18a48f7fb498812e942ff6582619b,['United Arab Emirates  - Mobile'],22666
192,640654d73e793985d8a0af054fb84a0f,['Australia - Mobile'],510000
193,6446fd3149b40d0ae542969ad92dcdd4,['Qatar - Mobile'],79167
194,64906ac25467e1f6745fb3bd3fab4b8a,"['UK - Mobile', 'Australia', 'U.K.']",195634
195,652e635172257be9a86800505f7f908a,['Italy - Mobile'],5700
196,6593bda8608b3bcdfab408daabf6e90e,"['Canada', 'UK - Mobile']",161420
197,66bbab9297725a48b286e3877ce86a84,['Korea Republic Of - Mobile'],982300
198,66cc2ee5785e4550f9d956fcc234e2b5,['Saudi Arabia - Mobile'],18683
199,679c3ffd9a655a1e04327fb1edf4f618,"['U.K.', 'Canada']",8384256
200,67a5c72583d9625030befc9da30f801d,['France - Mobile'],104400
201,69618a067865cf92431ed15d79f75226,['India'],32435
202,69ccad7c36e8c623de7855746231579e,"['China - Mobile', 'Austria - Mobile', 'Russia']",59200
203,69cf35dfa31af2bd728d476f43c8faab,"['UK - Mobile', 'United Arab Emirates  - Mobile', 'U.K.', 'India', 'France']",154700
204,69d91c6f3d75bcd9954871981ec22795,['Australia'],814569
205,6aa0beeb0226622462e95030241f2d45,['U.K.'],123667
206,6b5a53275e58e99ff6b4b5ca8e2419ba,['Pakistan - Mobile'],194400
207,6c397f70bdbc607bfbef7772a54fb239,"['Australia - Mobile', 'UK - Mobile', 'U.K.']",334450
208,6c429b4930e0b602e9fe34087c534f59,['Australia - Mobile'],18600
209,6c4664362bd61f75c20e8db0946eb930,"['Barbados', 'Australia', 'New Zealand']",158166
210,6cf9a568ef3c58e32580a5633228f41a,['UK - Mobile'],2294100
211,6d05264c962bca2de27e7a00c85ef5ef,"['United Arab Emirates', 'U.K.', 'Australia - Mobile', 'United Arab Emirates  - Mobile']",2179286
212,6d6e71780151e01915a1fe8aa99b1665,['U.S.A'],3022
213,6d6eeb3bba32487b064be3e514c68a5e,['U.S.A'],9718
214,6eb7c7e72cb90d69c265a98a69d7e377,['Italy - Mobile'],169500
215,6ee751dfbc727b1b579a188ce1d008e3,['Japan - Mobile'],10000
216,6f22328dd88a24303a7718e4b3bb7bb0,"['Canada', 'Australia', 'U.S.A']",245490
217,709d2f2bbdf401b856fdf41d179ade81,"['New Zealand - Mobile', 'United Arab Emirates  - Mobile']",12060566
218,70d272d98fce8d869d1f855ee38f8fb3,['United Arab Emirates  - Mobile'],2097336
219,7108a9d01fd8204c50bd9672d200f4de,['Australia'],16567
220,710d8b9aa5ef8f9895fff27ed9218c1d,['Korea Republic Of - Mobile'],430101
221,71abb2e3fb7424a48b20bb7a0809f5ea,['Qatar - Mobile'],181250
222,71b026d1414f371094ad071d02468f1b,['Austria - Mobile'],121367
223,71e31fbe2fa865d474d0cf4435d3f59f,"['United Arab Emirates', 'U.K.']",663850
224,71f750d1ac24343ca3a3de5e197af6ec,['Australia - Mobile'],71400
225,728d67fc4c1187361a674b41b92e0602,['U.S.A'],64435
226,72a0d0bbb0b7fb1a1b94db9b404fc997,"['UK - Mobile', 'Malaysia - Mobile']",458300
227,7409582429f085df923afca66da4cfc3,"['Saudi Arabia', 'U.S.A', 'United Arab Emirates', 'U.K.', 'Maldive Islands']",551787
228,7462ebfbe1d8bb190a00384205ddc55a,"['Australia - Mobile', 'Bahrain - Mobile', 'India']",633920
229,756b47be02ae8288d02f2d9e80659d75,['U.S.A'],18375
230,75aea4252f9ee72eb75e2bda4e8ac78f,"['Kuwait -Mobile', 'United Arab Emirates  - Mobile']",121467
231,76304367364b3c2d5833b070ee10c013,"['UK - Mobile', 'U.K.']",193067
232,7651616fff964b4260880daf3aecd561,"['Japan - Mobile', 'United Arab Emirates  - Mobile']",487000
233,76d2be98265496481fa8ed9700e256fe,['Cyprus - Mobile'],21666
234,76f0f232dc066a78d4f1b6ad03bc7865,['United Arab Emirates  - Mobile'],842001
235,784384d51f5700d0d4057377873af5c3,['U.S.A'],1580006
236,78a16cd55d5a8218c2287f9ad8d6ad58,"['Australia', 'U.S.A']",145087
237,790806024f2f9c231ec98c6de29aca1b,['Australia - Mobile'],279600
238,79d8ba7bbe4b717d362c548a8e37c726,['Italy - Mobile'],1500
239,7a20d3da796184bdb57271f4f7acd976,"['UK - Mobile', 'Hong Kong']",158500
240,7aefb8dee512c9dabed9f8d37ea1d2ce,['Saudi Arabia - Mobile'],629850
241,7b53ab3f0eacd851ff976627b380caa7,"['Cyprus - Mobile', 'Australia - Mobile']",119517
242,7b9367da168ff3bce8c3ab07bcc69081,['UK - Mobile'],59100
243,7c37702fe1dd0b0e55596dece1a59e4a,['Australia - Mobile'],48000
244,7c67f58f305f58a45a2ef0bb8d61c99c,['U.K.'],35817
245,7d8db90d27e15417b0e41abfb99ae299,['Singapore'],6600
246,7dd947f0a15a2481b7fee96c88187c4b,"['Australia - Mobile', 'Australia', 'United Arab Emirates  - Mobile']",392967
247,7dddbf630b33492b2d1f9c9588a951e5,['Korea Republic Of - Mobile'],16500
248,7e18108a246044bda9cc638f797649cf,['Australia - Mobile'],452700
249,7eec59f66976cb418a8b84fbb3274e50,"['China - Mobile', 'Malaysia - Mobile', 'Pakistan']",417300
250,7f045e0e69b628ae2f720af4cc2be3d4,"['Australia - Mobile', 'UK - Mobile']",1695600
251,7f54262010aedef2d475da1a017fb201,['Australia - Mobile'],23400
252,8120f8c7f276561ce0b61f859a3aa6f2,"['U.K.', 'Australia']",129734
253,81730858ef806dac6282c3597b2fe009,['Saudi Arabia - Mobile'],66183
254,825b869e60f6b005233eae3d7f23b9c6,"['UK - Mobile', 'Hong Kong']",294800
255,828968af136b51b69db6dfe57ab1f1bf,['Canada'],3103
256,82d309993b8923e8552306268487a2af,['UK - Mobile'],113400
257,849863c355cb98a4fa2c331af1fc5c26,['UK - Mobile'],21000
258,84ee14a862e3ac7f0df94782bc10708d,"['Australia - Mobile', 'U.S.A', 'Maldive Islands', 'India', 'Mauritius']",6452270
259,852daded0a1369ce4bbf3d7915957a69,"['UK - Mobile', 'Bahrain - Mobile']",142583
260,85d6118f7c6b6bd12df68ae6883c4ad0,['UK - Mobile'],57600
261,867963358df3e9cc648d717b6759d3d3,"['U.K.', 'UK - Mobile']",533767
262,870b7685f7146557933b66bde37d763e,"['Australia - Mobile', 'Canada']",262532
263,877bf134f2a0c84e1552eaf9e216ffc1,['Australia - Mobile'],310200
264,87982c45d5c8ccde8b83f5c0a989106e,"['United Arab Emirates', 'Singapore']",294933
265,87c5b4414b6fddab2c9cf2838758b8fe,['United Arab Emirates  - Mobile'],2333
266,87ffaa5fef103aa71dca7e5bb0fde836,['United Arab Emirates  - Mobile'],1985666
267,8822b88cbe6c146be2046f44d4a327a6,"['United Arab Emirates', 'Japan - Mobile']",316667
268,88c16016e195e137c60156c619027190,['U.S.A'],118335
269,88cd726fd19de40b97238fd2f25e21b8,"['Australia - Mobile', 'U.S.A']",158342
270,89662e164c3791845060b0359c2fbb83,['Italy - Mobile'],5100
271,8acb93a33b355ae92e9f853985c462c3,"['Australia - Mobile', 'Germany', 'UK - Mobile']",164917
272,8ba2d8aa1f28349ed94c4d9df06ed25c,['Qatar - Mobile'],10943335
273,8c0914b400902c2bacbb8262d32f2eb1,"['Germany', 'Singapore']",132333
274,8c63a9b013f6c1ef5546d5c67402a0ff,['Australia'],32783
275,8d45b7c6c319b1df9e9e60b872aba928,"['Australia - Mobile', 'Australia', 'Malaysia - Mobile']",346251
276,8e074467ef62a1ebb8b88a2eb7f6d0b4,['U.S.A'],32503
277,8f4e00297bcba505a79d184a27f586ed,['UK - Mobile'],6900
278,91908eb091402c62e43f0672934849aa,['Korea Republic Of'],62700
279,919f7a8082eb6cfe253fcfa3115245d1,['UK - Mobile'],172200
280,92691c288626b57a2d5e9bb3b03b143e,['Oman-Mobile '],85800
281,933ee2e2d07dfbf30701955853ad64a6,['France'],70467
282,93b748e58ed1c88d4df9939ee77c41f4,['United Arab Emirates  - Mobile'],3333
283,93cc1c2d6d0c5660ada2405d53b2bcdd,['India'],12805
284,944a13cae4837c4970f0000c3be31f4d,['Japan'],20533
285,94a004a3eaa31fe0bf41ef4d9ef43c2e,['United Arab Emirates'],154667
286,94dbd8cd27f85dfd7b08f5e504b21bc5,['Saudi Arabia - Mobile'],254283
287,94e9cc5591e7478b79f3e1707d342eab,['U.S.A'],186036
288,955ce3e26252b705bf01ee6af090bbcf,['Australia - Mobile'],12900
289,958507cbc76a73b3b387a159f656c48c,['United Arab Emirates  - Mobile'],136667
290,95badd76405ecb14eb3b62c669c749a6,['U.K.'],33950
291,95f8e8d0e1c62fe2dab0ad49ab833a9b,['U.K.'],286650
292,9628246a39aaf0d6df6a6d3e03a4a378,"['Australia - Mobile', 'UK - Mobile', 'U.K.']",1022967
293,9783b9540f03ee6888e457eda205b719,['Australia - Mobile'],34200
294,97878fab877b73ef8f2d540302da7feb,"['Australia - Mobile', 'France', 'India', 'Singapore']",6013340
295,982422f16991a84a0c19980e0590d979,['Canada'],2287
296,995ae34cf08d08eaca3d7d0249578546,"['Oman-Mobile ', 'Italy - Mobile']",271200
297,99f6b25224c5d747c8204b75508f7bd3,['Canada'],261333
298,9a09eca936d581cfe1b2fa8aed20316d,"['Australia - Mobile', 'Australia']",103217
299,9a6942c3d8d29fdadee1f875d6740c69,['Qatar - Mobile'],31250
300,9aa1c8903467c70a3649f81aba88b6d3,['Italy - Mobile'],178200
301,9ae5fbe3b9d4572d5e0298e302346ae3,['Saudi Arabia - Mobile'],497167
302,9af01a9db0e0491baf3c39185065704d,['U.K.'],817
303,9b0e9ea9ef181a196cbdd6b24959f17e,"['Canada', 'Oman-Mobile ']",595675
304,9d6aa071c0ef71607b4629a741fc2974,"['U.K.', 'Australia', 'U.S.A']",195778
305,9edab99e5e5789d6d10d13899459e628,['Canada'],3999299
306,9f59609b705ca523e8468e1e8dc2eeb0,"['UK - Mobile', 'U.S.A']",188030
307,9fb8b46719fb977ff1d99a786ba3937f,['U.S.A'],766441
308,a053ebf7e9637fb6aab57e537b122635,"['India', 'Oman-Mobile ', 'Qatar - Mobile']",186332
309,a0723957ebd80e956172f8424d6d530f,['Australia'],72684
310,a088801e982e6fb893a258056859f02e,['Nepal - Mobile'],263400
311,a263c2c75686b3df2f51a40c930f14df,['Kuwait -Mobile'],13200
312,a32ed20dc778b0ae330620357809d969,"['United Arab Emirates', 'United Arab Emirates  - Mobile']",708668
313,a3314faaf368079a84a506eebfc984e5,['Australia'],1958483
314,a3cc4c4735b2353a4ce845368919286c,['Australia - Mobile'],210600
315,a3da4c6378b50abde8ccb0c19e7a6f8e,"['U.K.', 'Canada']",27778
316,a3dacc4949438c8bb24553b41d0511e0,['Australia - Mobile'],480300
317,a48eb36d3fa53663b6ff26915cd50376,['UK - Mobile'],3900
318,a4aa118d7a856eb008b2c7d3953ed310,['India'],2080
319,a50e1b44c2ef939de35d9979a6aba1b8,['India'],23335
320,a544d732d664b6c3cf830a390b087351,"['Canada', 'Bahrain - Mobile']",393684
321,a56749c8566f8c41d2c406e0ca8f5ec1,['Oman-Mobile '],258500
322,a59c2773afc5be902c52f6990f370bcf,['United Arab Emirates'],1113334
323,a5d436a8c0260ad9928e857fc40e0b0c,['Australia - Mobile'],3300
324,a627d43b87c76d2ac8f84415e0db6a72,['U.K.'],82250
325,a64371f6efd754224f3c069b06306b21,"['United Arab Emirates', 'UK - Mobile', 'United Arab Emirates  - Mobile']",2065297
326,a7ca083643741d19717b856c5a438359,"['Maldive Islands', 'India', 'Mauritius']",3606415
327,a7fc434b1478396f94a32062fad184e1,['Australia - Mobile'],20400
328,a947c867af161f500521512b1321cdc2,"['New Zealand - Mobile', 'India']",197763
329,aa12a0801b9d1cec17f312c4a686333d,['United Arab Emirates'],4333
330,aaa6f63fb92eb75ae073b5ae43c5c07a,['Germany'],180949
